n	x	y	t	dx	dy	dt
44	16.202651	15.246938	32.46	0.2146720000000002	-0.062458000000001235	0.019999999999996017
44	16.417323	15.18448	32.48	0.17106700000000075	0.0551510000000004	0.02000000000000313
44	16.58839	15.239631	32.5	0.0428469999999983	0.2265480000000011	0.02000000000000313
44	16.631237	15.466179	32.52	-0.03012199999999865	-0.054045000000000336	0.019999999999996017
44	16.601115	15.412134	32.54	-0.003095999999999321	0.011295999999997973	0.02000000000000313
44	16.598019	15.423429999999998	32.56	0.12608200000000025	0.029471000000002686	0.019999999999996017
44	16.724101	15.452901	32.58	0.04624600000000001	-0.005539000000000628	0.02000000000000313
44	16.770347	15.447362	32.6	-0.13135700000000128	-0.05462400000000045	0.019999999999996017
44	16.63899	15.392738	32.62	0.02161299999999855	-0.06977399999999889	0.02000000000000313
44	16.660603	15.322964	32.64	-0.07186899999999953	0.1635719999999985	0.019999999999996017
44	16.588734	15.486536	32.66	0.02305199999999985	0.06113000000000035	0.02000000000000313
44	16.611786	15.547666	32.68	0.12954999999999828	-0.06762900000000016	0.02000000000000313
44	16.741335999999997	15.480037	32.7	-0.14088499999999726	-0.09845900000000007	0.019999999999996017
44	16.600451	15.381578	32.72	0.007256000000001706	-0.09082800000000013	0.02000000000000313
44	16.607707	15.29075	32.74	0.007482999999997021	0.049342000000002884	0.019999999999996017
44	16.61519	15.340092000000002	32.76	-0.12727999999999895	0.024145999999998224	0.02000000000000313
44	16.48791	15.364238	32.78	-0.17151799999999895	-0.019330999999999317	0.019999999999996017
45	18.32469	15.299002	32.76	0.075291	0.13772100000000087	0.02000000000000313
45	18.399981	15.436723	32.78	-0.011306000000001148	0.04601999999999862	0.019999999999996017
45	18.388675	15.482743	32.8	-0.042380999999998885	0.055702999999999385	0.02000000000000313
45	18.346294	15.538446	32.82	0.05226000000000042	-0.09163199999999704	0.02000000000000313
45	18.398554	15.446814000000002	32.84	0.07629100000000122	0.04760999999999704	0.019999999999996017
46	16.120402	15.05768	32.86	0.035745000000002136	0.014933000000000972	0.02000000000000313
46	16.156147	15.072613	32.88	0.045639999999998786	-0.06416400000000166	0.019999999999996017
46	16.201787	15.008449	32.9	0.18560700000000094	0.0565370000000005	0.02000000000000313
46	16.387394	15.064986	32.92	0.06068399999999841	0.15031500000000084	0.019999999999996017
46	16.448078	15.215301	32.94	-0.09069099999999963	-0.1927890000000012	0.02000000000000313
46	16.357387	15.022512	32.96	0.18153500000000025	0.2518660000000015	0.019999999999996017
46	16.538922	15.274378	32.98	0.02924600000000055	0.048276999999998786	0.02000000000000313
46	16.568168	15.322655	33.0	-0.051124999999998984	-0.21327899999999825	0.02000000000000313
46	16.517043	15.109376	33.02	-0.11335800000000162	0.2145910000000004	0.019999999999996017
46	16.403685	15.323967	33.04	-0.07219999999999871	-0.3055580000000013	0.02000000000000313
46	16.331485	15.018409	33.06	-0.07237100000000041	-0.044069000000000365	0.019999999999996017
47	16.326486	16.729618	33.08	0.005268999999998414	0.07992100000000235	0.02000000000000313
48	16.307299	16.712889999999998	33.14	-0.2206930000000007	-0.20579099999999784	0.019999999999996017
48	16.086606	16.507099	33.16	0.0343119999999999	0.003316999999999126	0.02000000000000313
48	16.120918	16.510416	33.18	-0.07018000000000058	-0.019338000000001188	0.02000000000000313
48	16.050738	16.491077999999998	33.2	0.0455040000000011	-0.0238119999999995	0.019999999999996017
48	16.096242	16.467266	33.22	-0.10655399999999916	-0.2209349999999972	0.02000000000000313
49	15.913502	16.04344	33.32	-0.05279599999999896	0.06875499999999947	0.02000000000000313
50	16.149651000000002	16.440888	33.36	-0.023171000000004938	0.0823999999999998	0.02000000000000313
50	16.126479999999994	16.523288	33.38	-0.036532999999998594	0.122285999999999	0.019999999999996017
50	16.089947	16.645574	33.4	-0.012196999999996905	-0.06272599999999784	0.02000000000000313
50	16.07775	16.582848000000002	33.42	-0.042452000000000815	-0.07784000000000191	0.019999999999996017
53	18.381659	15.400338	34.4	0.06534399999999962	0.07201000000000057	0.02000000000000313
54	16.041675	16.562946	34.42	0.11124200000000073	0.2572839999999985	0.019999999999996017
55	18.386861	15.404835999999998	34.52	0.07282400000000068	0.011303000000003394	0.019999999999996017
58	16.074089999999998	16.600558	35.02	-0.06394899999999737	0.05917499999999976	0.019999999999996017
58	16.010141	16.659733	35.04	-0.027371000000000482	-0.016866999999997745	0.02000000000000313
58	15.98277	16.642866	35.06	0.020819999999998732	-0.14852400000000188	0.019999999999996017
58	16.00359	16.494342	35.08	0.03935700000000253	0.15238899999999944	0.02000000000000313
59	15.954849	16.807566	35.56	-0.03376300000000043	-0.004110000000000724	0.019999999999996017
59	15.921086	16.803456	35.58	0.023639000000001083	0.02565799999999996	0.02000000000000313
59	15.944725	16.829114	35.6	0.1656139999999997	-0.13199399999999886	0.019999999999996017
59	16.110339	16.69712	35.62	-0.1585990000000006	-0.027893000000002388	0.02000000000000313
59	15.95174	16.669227	35.64	-0.19506200000000007	-0.06458199999999792	0.019999999999996017
60	17.060325	15.078082	35.64	-0.15825099999999992	0.07283800000000085	0.019999999999996017
60	16.902074	15.15092	35.66	-0.14855099999999766	-0.0991099999999996	0.02000000000000313
60	16.753523	15.05181	35.68	0.047246999999998714	-0.015189000000003006	0.02000000000000313
60	16.80077	15.036620999999998	35.7	0.0005659999999991783	0.03062000000000253	0.019999999999996017
60	16.801336	15.067241	35.72	0.03078700000000012	-0.1306330000000031	0.02000000000000313
61	16.804178	15.033186	35.76	0.009703999999999269	-0.04974499999999793	0.02000000000000313
62	16.779419	15.008175	35.8	0.0787489999999984	-0.10028599999999877	0.02000000000000313
63	16.745804999999994	15.010801999999998	36.0	0.042382000000003466	-0.06173399999999951	0.02000000000000313
65	17.820821	15.993926	36.06	-0.031162999999999382	0.07222800000000085	0.019999999999996017
65	17.789658	16.066154	36.08	-0.03537500000000193	-0.061697999999999815	0.02000000000000313
65	17.754282999999994	16.004456	36.1	0.028215000000002988	0.12173599999999853	0.019999999999996017
66	16.334032	16.050794	36.12	0.1359359999999974	0.026859000000001743	0.02000000000000313
66	16.469967999999998	16.077653	36.14	-0.0156029999999987	0.06011499999999615	0.019999999999996017
66	16.454365	16.137767999999998	36.16	0.103232000000002	0.020069000000003	0.02000000000000313
66	16.557597	16.157837	36.18	-0.0915890000000026	-0.13145799999999852	0.02000000000000313
66	16.466008	16.026379000000002	36.2	-0.05316599999999738	0.04022599999999698	0.019999999999996017
66	16.412842	16.066605	36.22	-0.14909500000000264	-0.07915900000000065	0.02000000000000313
67	17.834162	16.062533	36.2	0.013580000000001036	0.054432000000002034	0.019999999999996017
68	16.260151999999998	15.932676	36.32	0.12098399999999998	0.004807999999998813	0.02000000000000313
68	16.381135999999998	15.937484	36.34	0.0961420000000004	0.2372519999999998	0.019999999999996017
68	16.477278	16.174736	36.36	0.0253760000000014	0.2270700000000012	0.02000000000000313
68	16.502654	16.401806	36.38	-0.04200099999999907	-0.2044940000000004	0.019999999999996017
69	16.636722	15.502245000000002	36.36	0.02285200000000032	-0.04649900000000251	0.02000000000000313
69	16.659574	15.455746	36.38	-0.012259999999997715	-0.1153650000000006	0.019999999999996017
69	16.647314	15.340381	36.4	-0.009183000000000163	-0.014413999999996818	0.02000000000000313
69	16.638131	15.325967000000002	36.42	0.06518600000000062	0.00814499999999718	0.019999999999996017
70	16.469989	16.147242000000002	36.44	0.0693969999999986	0.07234499999999855	0.02000000000000313
70	16.539386	16.219587	36.46	-0.09134799999999997	0.030597000000000207	0.019999999999996017
70	16.448038	16.250184	36.48	-0.010396000000000072	-0.17342999999999975	0.02000000000000313
70	16.437642	16.076754	36.5	-0.04779999999999873	0.03760099999999866	0.02000000000000313
71	16.683898000000006	15.349714	36.48	-0.0408150000000056	0.007853999999998251	0.02000000000000313
72	16.432541	16.092371	36.58	0.0412089999999985	-0.10428500000000084	0.02000000000000313
72	16.47375	15.988086	36.6	-0.008675000000000209	-0.12725399999999887	0.019999999999996017
72	16.465075	15.860832	36.62	-0.028178999999997963	0.17065299999999972	0.02000000000000313
72	16.436896	16.031485	36.64	-0.08987500000000281	-0.006911000000002332	0.019999999999996017
72	16.347020999999998	16.024573999999998	36.66	-0.08137499999999775	0.026450000000000532	0.02000000000000313
72	16.265646	16.051023999999998	36.68	0.042294999999999305	-0.07251799999999875	0.02000000000000313
72	16.307941	15.978506	36.7	-0.07910400000000095	-0.07452999999999932	0.019999999999996017
72	16.228837	15.903976	36.72	-0.027511999999997986	0.2320910000000005	0.02000000000000313
73	17.808274	16.026504	36.6	0.02966800000000092	0.023381999999998012	0.019999999999996017
73	17.837942	16.049885999999994	36.62	-0.08978000000000108	-0.04939199999999744	0.02000000000000313
73	17.748162	16.000494	36.64	0.06967600000000118	-0.008873999999998716	0.019999999999996017
73	17.817838000000005	15.99162	36.66	-0.05030400000000057	0.03812599999999833	0.02000000000000313
73	17.767534	16.029746	36.68	0.02540199999999615	-0.001712000000001268	0.02000000000000313
74	17.45411	15.180898	36.68	-0.1793869999999984	-0.14632900000000149	0.02000000000000313
74	17.274723	15.034569	36.7	0.06154300000000035	0.0009610000000002117	0.019999999999996017
75	17.405102	15.849636	36.74	0.17549000000000348	0.08803000000000161	0.019999999999996017
75	17.580592000000006	15.937666	36.76	-0.3212580000000038	-0.07489200000000018	0.02000000000000313
75	17.259334	15.862774	36.78	-0.0715079999999979	0.025893999999999195	0.019999999999996017
75	17.187826	15.888668	36.8	0.04103199999999774	-0.07918500000000073	0.02000000000000313
75	17.228858	15.809482999999998	36.82	-0.09278299999999716	0.08590500000000212	0.02000000000000313
75	17.136075	15.895388	36.84	0.09425299999999837	0.0088089999999994	0.019999999999996017
76	16.127397	16.200008	36.78	-0.015764999999998253	0.035716999999998215	0.019999999999996017
76	16.111632	16.235725	36.8	0.00837100000000035	-0.08035399999999981	0.02000000000000313
77	17.42023	15.017596	36.78	-0.17217099999999874	0.07353200000000015	0.019999999999996017
78	16.959101999999998	15.768544	36.96	0.00936500000000251	-0.0258730000000007	0.019999999999996017
78	16.968467	15.742671	36.98	-0.01555500000000265	-0.05870699999999829	0.02000000000000313
78	16.952911999999998	15.683964	37.0	-0.07848599999999806	0.01874599999999837	0.02000000000000313
81	16.745801999999998	15.300892	37.18	-0.024399999999999974	-0.10094400000000013	0.02000000000000313
81	16.721401999999998	15.199948	37.2	0.03312400000000437	-0.1810220000000005	0.019999999999996017
81	16.754526000000002	15.018926	37.22	0.18145199999999664	0.0804620000000007	0.02000000000000313
81	16.935978	15.099388	37.24	0.10963600000000184	-0.02246200000000087	0.019999999999996017
82	16.856643	15.134182	37.32	0.14451199999999886	0.02041000000000004	0.02000000000000313
83	16.356227	15.125315	37.36	0.034238999999999464	-0.07270399999999988	0.02000000000000313
84	17.18189	15.109788	37.42	0.06448800000000078	-0.07817499999999987	0.019999999999996017
84	17.246378	15.031613	37.44	0.004704000000000264	0.04434499999999808	0.02000000000000313
84	17.251082	15.075957999999998	37.46	-0.07059100000000029	-0.038413999999997735	0.019999999999996017
84	17.180491	15.037544	37.48	-0.02844800000000092	0.0007999999999999119	0.02000000000000313
84	17.152043	15.038344	37.5	-0.07585299999999863	-0.027110000000000408	0.02000000000000313
84	17.07619	15.011234	37.52	-0.033491000000001485	0.07193999999999967	0.019999999999996017
84	17.042699	15.083174	37.54	-0.09983199999999924	-0.025632999999999132	0.02000000000000313
84	16.942867	15.057541	37.56	-0.281129	0.04312699999999836	0.019999999999996017
84	16.661738	15.100668	37.58	0.0026669999999988647	-0.06839199999999758	0.02000000000000313
84	16.664405	15.032276	37.6	0.06989600000000351	0.06663899999999856	0.019999999999996017
85	16.535701	15.530987	37.44	-0.08676499999999976	-0.17048299999999905	0.02000000000000313
85	16.448936	15.360504	37.46	0.0919629999999998	0.13470000000000049	0.019999999999996017
87	17.825802	16.175410999999997	37.82	-0.0291669999999975	-0.1636369999999978	0.02000000000000313
88	16.469858	16.120941000000002	37.86	0.08869400000000027	0.006629000000000218	0.02000000000000313
88	16.558552	16.127570000000002	37.88	0.06548599999999992	-0.04231600000000313	0.019999999999996017
88	16.624038	16.085254	37.9	-0.012788000000000466	0.04352400000000145	0.02000000000000313
88	16.61125	16.128778	37.92	-0.10027999999999793	-0.007653000000001242	0.019999999999996017
88	16.51097	16.121125	37.94	-0.19880500000000006	-0.15184700000000007	0.02000000000000313
89	16.714762	15.072424	37.92	-0.08059599999999989	0.09861800000000187	0.019999999999996017
90	16.010610999999994	16.078114000000006	38.06	-0.2944029999999991	-0.08573500000000145	0.019999999999996017
91	17.816568	15.913413	38.08	-0.023336000000000467	0.13580000000000148	0.02000000000000313
92	17.742910000000006	16.109462	38.14	0.060430999999997674	-0.050252000000000414	0.019999999999996017
92	17.803341	16.05921	38.16	-0.022292999999997683	-0.05683900000000008	0.02000000000000313
93	16.135448	15.797515	38.16	-0.13396800000000295	-0.04606799999999822	0.02000000000000313
93	16.001479999999994	15.751447	38.18	-0.017419999999995994	0.030754999999997423	0.02000000000000313
93	15.98406	15.782201999999998	38.2	-0.05338500000000046	0.044871000000002326	0.019999999999996017
93	15.930675	15.827073	38.22	-0.04902000000000229	0.020747000000000067	0.02000000000000313
95	16.815275	15.735725	38.26	-0.06892000000000209	-0.11713999999999912	0.02000000000000313
95	16.746354999999998	15.618585	38.28	0.1971840000000036	0.002454999999997653	0.019999999999996017
96	17.744659	16.044605999999998	38.26	0.06385300000000171	-0.007530999999996624	0.02000000000000313
96	17.808512	16.037075	38.28	-0.002013999999999072	0.04996499999999671	0.019999999999996017
97	17.202381	15.772896	38.38	0.13183500000000234	0.11420800000000142	0.019999999999996017
97	17.334216	15.887104	38.4	-0.06800500000000298	0.0006389999999978357	0.02000000000000313
97	17.266211	15.887743	38.42	-0.002290999999996046	-0.06708800000000004	0.019999999999996017
97	17.263920000000002	15.820655	38.44	-0.07107799999999997	0.1026410000000002	0.02000000000000313
97	17.192842000000002	15.923296	38.46	-0.11527100000000345	-0.12843499999999966	0.019999999999996017
98	17.814458	15.910412	38.46	-0.04374599999999873	0.1991460000000007	0.019999999999996017
99	17.723346	17.153088	38.64	0.024358000000002992	0.16040599999999827	0.019999999999996017
99	17.747704000000006	17.313494	38.66	-0.039842000000003715	-0.1281739999999978	0.02000000000000313
99	17.707862	17.18532	38.68	-0.0217049999999972	0.004375999999997049	0.02000000000000313
99	17.686157	17.189695999999998	38.7	0.07269900000000007	0.02601900000000157	0.019999999999996017
100	16.572266	15.213766	38.68	-0.02705800000000025	0.005611000000000033	0.02000000000000313
100	16.545208	15.219377	38.7	0.056171000000002635	-0.029603999999999075	0.019999999999996017
100	16.601379	15.189773	38.72	0.10877099999999727	0.15548899999999932	0.02000000000000313
100	16.71015	15.345262	38.74	0.014120000000001909	-0.09611199999999977	0.019999999999996017
100	16.72427	15.24915	38.76	-0.005708000000002046	0.07449200000000111	0.02000000000000313
100	16.718562	15.323642	38.78	0.04334700000000069	0.037903999999997495	0.019999999999996017
100	16.761909	15.361546	38.8	-0.017598999999997034	0.019024000000001703	0.02000000000000313
100	16.744310000000002	15.38057	38.82	0.005627999999997968	0.03602500000000042	0.02000000000000313
100	16.749938	15.416595	38.84	-0.0145760000000017	-0.08285500000000212	0.019999999999996017
100	16.735362	15.33374	38.86	0.0390650000000008	0.15648400000000073	0.02000000000000313
101	17.736938000000006	17.179722	38.8	-0.013652000000003994	0.07341999999999871	0.02000000000000313
101	17.723285999999995	17.253142	38.82	0.01563900000000018	-0.07469199999999887	0.02000000000000313
102	17.435502	15.933548000000002	38.84	-0.04251199999999855	0.03836099999999831	0.019999999999996017
102	17.39299	15.971909	38.86	0.04464699999999766	-0.03716200000000036	0.02000000000000313
102	17.437637	15.934747	38.88	-0.05961499999999731	0.025064999999999667	0.019999999999996017
102	17.378022	15.959812	38.9	0.03415199999999885	0.037230000000000985	0.02000000000000313
102	17.412174	15.997042	38.92	0.006170000000000897	0.035484000000000286	0.019999999999996017
102	17.418344	16.032526	38.94	-0.03180800000000161	-0.05478500000000075	0.02000000000000313
102	17.386536	15.977741	38.96	0.10857400000000084	0.0022369999999991568	0.019999999999996017
102	17.49511	15.979978	38.98	-0.10435800000000127	-0.06553599999999804	0.02000000000000313
102	17.390752	15.914442	39.0	0.03832300000000188	0.10555300000000044	0.02000000000000313
102	17.429075	16.019995	39.02	-0.036535999999998126	0.01882699999999815	0.019999999999996017
102	17.392539000000006	16.038822	39.04	-0.00844600000000284	-0.12053699999999877	0.02000000000000313
102	17.384093	15.918285	39.06	-0.054638999999998106	0.08578100000000077	0.019999999999996017
103	17.815829	17.175366	38.94	-0.08667700000000167	-0.04351600000000033	0.02000000000000313
103	17.729152	17.13185	38.96	-0.0640459999999976	0.005829999999999558	0.019999999999996017
104	16.037042	15.294475	39.04	0.21469199999999944	-0.10672000000000104	0.02000000000000313
104	16.251734	15.187755	39.06	0.2149000000000001	-0.009345999999998966	0.019999999999996017
104	16.466634	15.178409	39.08	0.07318400000000125	-0.11872999999999935	0.02000000000000313
104	16.539818	15.059679	39.1	0.08340899999999962	0.15726300000000035	0.019999999999996017
104	16.623227	15.216942	39.12	0.0754550000000016	0.17829099999999798	0.02000000000000313
105	17.672757999999995	17.238021	39.06	0.033464000000002166	-0.03553800000000251	0.019999999999996017
106	17.376905999999998	15.909172	39.12	0.07306499999999971	0.06274500000000137	0.02000000000000313
106	17.449970999999998	15.971917	39.14	0.24083200000000105	0.05868799999999653	0.019999999999996017
106	17.690803	16.030604999999998	39.16	-0.002759999999998541	-0.04000299999999868	0.02000000000000313
106	17.688043	15.990602	39.18	-0.329701	-0.06687699999999985	0.02000000000000313
106	17.358342	15.923725	39.2	0.12393499999999945	0.10861900000000267	0.019999999999996017
106	17.482277	16.032344000000002	39.22	-0.022683000000000675	0.004894000000000176	0.02000000000000313
107	17.79908	17.338939	39.12	-0.035869000000001705	-0.13613600000000048	0.02000000000000313
107	17.763211	17.202803	39.14	-0.024975999999998773	-0.039042999999999495	0.019999999999996017
108	16.127261999999998	16.429958	39.3	-0.13735199999999814	0.022567000000002224	0.02000000000000313
109	17.763525	16.114498	39.38	0.04886899999999983	-0.083986000000003	0.019999999999996017
